代碼,類型,名稱,稅率類別,原價,分類,位置,屬性 1 名稱,屬性 1 值,屬性 1 可見,屬性 2 名稱,屬性 2 值,屬性 2 可見,圖片,商品說明,商品簡短描述
,variable,2024秋 迪士尼公主休閒洋裝 3色 ,,,"VIVID-I,dress洋裝",0,尺寸,"XS,S,M,L,XL,JS,JM",1,顏色,"粉公主,藍公主,黃公主",,https://wababewa.com/collections/%E6%96%B0%E5%93%81-%EF%BD%8E%EF%BD%85%EF%BD%97/products/%E9%A0%90%E8%B3%BC-kids%E8%BF%AA%E5%A3%AB%E5%B0%BC%E5%85%AC%E4%B8%BB%E6%A3%89%E8%B3%AA%E6%B4%8B%E8%A3%9D-3colors-2-3-2-2-2-1-1-1-2-1-1-1-1-1-2-1-1-2-2-1-1-1-3-1-1-4-1-1-1-2-1-1-2-2-1-1-2-2-2-4-1-1-2-1-2-1-1-1-2-2-1-1-1-1-1-1-1-1-1-1-2-1-1-1-1-3-1,"<table style=""height: 193px; width: 36.3987%; border-collapse: collapse;"" cellspacing=""200"">
<tbody>
<tr style=""height: 24px;"">
<td style=""height: 24px; border-style: double; text-align: center; width: 42.7686%;"" colspan=""3"">VIVID-I</td>
</tr>
<tr style=""height: 24px;"">
<td style=""height: 24px; width: 15.4103%; text-align: center; border-style: double;"">XS</td>
<td style=""width: 13.903%; text-align: center; border-style: double; height: 24px;"">75-90cm</td>
<td style=""width: 13.4553%; text-align: center; border-style: double; height: 24px;"">8-10kg</td>
</tr>
<tr style=""height: 24px;"">
<td style=""height: 24px; width: 15.4103%; text-align: center; border-style: double;"">S</td>
<td style=""width: 13.903%; text-align: center; border-style: double; height: 24px;"">90-100cm</td>
<td style=""width: 13.4553%; text-align: center; border-style: double; height: 24px;"">10-15kg</td>
</tr>
<tr style=""height: 24px;"">
<td style=""height: 24px; width: 15.4103%; text-align: center; border-style: double;"">M</td>
<td style=""width: 13.903%; text-align: center; border-style: double; height: 24px;"">100-105cm</td>
<td style=""width: 13.4553%; text-align: center; border-style: double; height: 24px;"">15-17kg</td>
</tr>
<tr style=""height: 24px;"">
<td style=""height: 24px; width: 15.4103%; text-align: center; border-style: double;"">L</td>
<td style=""width: 13.903%; text-align: center; border-style: double; height: 24px;"">105-110cm</td>
<td style=""width: 13.4553%; text-align: center; border-style: double; height: 24px;"">17-20kg</td>
</tr>
<tr style=""height: 24px;"">
<td style=""height: 24px; width: 15.4103%; text-align: center; border-style: double;"">XL</td>
<td style=""width: 13.903%; text-align: center; border-style: double; height: 24px;"">110-120cm</td>
<td style=""width: 13.4553%; text-align: center; border-style: double; height: 24px;"">20-22kg</td>
</tr>
<tr style=""height: 24px;"">
<td style=""width: 15.4103%; text-align: center; border-style: double; height: 25px;"">JS</td>
<td style=""width: 13.903%; text-align: center; border-style: double; height: 25px;"">120-128cm</td>
<td style=""width: 13.4553%; text-align: center; border-style: double; height: 25px;"">22-27kg</td>
</tr>
<tr style=""height: 24px;"">
<td style=""width: 15.4103%; text-align: center; border-style: double; height: 24px;"">JM</td>
<td style=""width: 13.903%; text-align: center; border-style: double; height: 24px;"">128-135cm</td>
<td style=""width: 13.4553%; text-align: center; border-style: double; height: 24px;"">27-31kg</td>
</tr>
</tbody>
</table>
&nbsp;<p><img src=""https://cherrytwins.com.tw/wp-content/uploads/2024/09/2024秋迪士尼公主休閒洋裝3色_1.jpg"" alt=""迪士尼公主休閒洋裝3色，展現了兒童和我愛迪士尼的獨特風格。"" width=""100%""></p><p><img src=""https://cherrytwins.com.tw/wp-content/uploads/2024/09/2024秋迪士尼公主休閒洋裝3色_2.jpg"" alt=""迪士尼公主休閒洋裝3色讓孩子在幼兒園兒童中閃耀。"" width=""100%""></p><p><img src=""https://cherrytwins.com.tw/wp-content/uploads/2024/09/2024秋迪士尼公主休閒洋裝3色_3.jpg"" alt=""迪士尼公主休閒洋裝3色，適合兒童的選擇。"" width=""100%""></p><p><img src=""https://cherrytwins.com.tw/wp-content/uploads/2024/09/2024秋迪士尼公主休閒洋裝3色_4.jpg"" alt=""迪士尼公主休閒洋裝3色讓孩子在寶貝中閃耀。"" width=""100%""></p><p><img src=""https://cherrytwins.com.tw/wp-content/uploads/2024/09/2024秋迪士尼公主休閒洋裝3色_5.jpg"" alt=""這款迪士尼公主休閒洋裝3色，為孩子的寶貝增添我愛迪士尼。"" width=""100%""></p><p><img src=""https://cherrytwins.com.tw/wp-content/uploads/2024/09/2024秋迪士尼公主休閒洋裝3色_6.jpg"" alt=""這款迪士尼公主休閒洋裝3色，為幼兒園必備帶來女生風格。"" width=""100%""></p><p><img src=""https://cherrytwins.com.tw/wp-content/uploads/2024/09/2024秋迪士尼公主休閒洋裝3色_7.jpg"" alt=""迪士尼公主休閒洋裝3色，靈感來自於幼兒園兒童。"" width=""100%""></p><p><img src=""https://cherrytwins.com.tw/wp-content/uploads/2024/09/2024秋迪士尼公主休閒洋裝3色_8.jpg"" alt=""迪士尼公主休閒洋裝3色，展現了小孩和我愛迪士尼的獨特風格。"" width=""100%""></p><p><img src=""https://cherrytwins.com.tw/wp-content/uploads/2024/09/2024秋迪士尼公主休閒洋裝3色_9.jpg"" alt=""這款迪士尼公主休閒洋裝3色，為孩子的兒童增添女生。"" width=""100%""></p><p><img src=""https://cherrytwins.com.tw/wp-content/uploads/2024/09/2024秋迪士尼公主休閒洋裝3色_10.jpg"" alt=""這款迪士尼公主休閒洋裝3色，為孩子的幼兒園兒童增添百搭。"" width=""100%""></p><p><img src=""https://cherrytwins.com.tw/wp-content/uploads/2024/09/2024秋迪士尼公主休閒洋裝3色_11.jpg"" alt=""迪士尼公主休閒洋裝3色，讓每個孩子看起來更兒童。"" width=""100%""></p><p><img src=""https://cherrytwins.com.tw/wp-content/uploads/2024/09/2024秋迪士尼公主休閒洋裝3色_12.jpg"" alt=""迪士尼公主休閒洋裝3色，融合百搭與可愛，增添個性。"" width=""100%""></p>",<ul><li>商品預購約需7-30個工作天（不含假日）。</li><li>尺寸表僅供品牌參考，實際穿著效果可能因孩子身型差異有所不同。</li><li>CherryTwins 與韓國童裝市場同步更新商品，賣場大部分商品為預購型態，現貨將另行註明。</li><li>部分實拍商品及文案屬於 CherryTwins 所有，賣場商品圖及MD實穿照片由韓國品牌方提供。</li></ul>
,variation,2024秋 迪士尼公主休閒洋裝 3色 ,parent,448,VIVID-I,1,尺寸,,,顏色,,,,,
,variation,2024秋 迪士尼公主休閒洋裝 3色 - JS,parent,509,VIVID-I,0,尺寸,JS,,顏色,,,,,
,variation,2024秋 迪士尼公主休閒洋裝 3色 - JM,parent,509,VIVID-I,0,尺寸,JM,,顏色,,,,,
